Disaggregation,Number of indicators,Number of values
Age,11,29
Ammunition,1,4
Article,3,13
by main product groups,1,9
Cat,1,3
Category,1,4
Component,1,17
Cost_train,1,4
Decile groups,1,10
Ec_activ,6,74
Farm caregory,1,3
Fund,1,1
Gender,3,4
Generation,1,7
GHG_ratio,1,2
Group,8,44
Households,2,2
including,2,16
Infectious diseases,1,7
inherit,1,2
Level,1,4
Level_ed,1,6
m_trans,3,15
Mode of transport,1,2
Object,1,10
Organization,1,4
Pollutants,1,10
Products,1,3
Region,21,25
Res_inten,1,5
Settlement,1,3
Sex of the head of household,1,2
Sex,11,4
Sou_en,1,3
strategy,1,3
Type of residence,20,2
Type of water supply,3,2
Type_weapon,1,5
Unit,9,15
Zone,1,3
